time_open_sec,time_close_sec,open,high,low,close,tick_volume,spread,real_volume,dow
1759280400,1759280700,3858.47000000,3860.79000000,3856.84000000,3860.10000000,972,18,0,3
1759280700,1759281000,3860.09000000,3861.42000000,3858.98000000,3860.18000000,760,18,0,3
1759281000,1759281300,3860.18000000,3860.56000000,3858.72000000,3859.70000000,634,18,0,3
1759281300,1759281600,3859.70000000,3860.65000000,3859.57000000,3860.05000000,514,18,0,3
1759281600,1759281900,3860.03000000,3860.09000000,3858.24000000,3858.54000000,770,18,0,3
1759281900,1759282200,3858.55000000,3859.40000000,3854.72000000,3854.72000000,1153,18,0,3
1759282200,1759282500,3854.72000000,3859.01000000,3854.68000000,3859.01000000,1064,18,0,3
1759282500,1759282800,3858.98000000,3859.30000000,3856.92000000,3858.35000000,992,18,0,3
1759282800,1759283100,3858.35000000,3859.27000000,3858.18000000,3859.17000000,618,18,0,3
1759283100,1759283400,3859.20000000,3860.95000000,3859.09000000,3860.03000000,628,18,0,3
1759283400,1759283700,3860.01000000,3860.92000000,3859.59000000,3859.65000000,536,18,0,3
1759283700,1759284000,3859.66000000,3860.25000000,3858.85000000,3860.07000000,580,18,0,3
1759284000,1759284300,3860.05000000,3861.43000000,3860.05000000,3860.78000000,748,18,0,3
1759284300,1759284600,3860.85000000,3862.22000000,3860.82000000,3861.87000000,794,18,0,3
1759284600,1759284900,3861.88000000,3862.22000000,3861.58000000,3861.80000000,726,18,0,3
1759284900,1759285200,3861.79000000,3862.31000000,3861.58000000,3861.80000000,420,18,0,3
1759285200,1759285500,3861.80000000,3861.93000000,3860.55000000,3860.88000000,436,18,0,3
1759285500,1759285800,3860.86000000,3861.74000000,3860.73000000,3861.61000000,349,18,0,3
1759285800,1759286100,3861.60000000,3861.82000000,3860.13000000,3861.39000000,527,18,0,3
1759286100,1759286400,3861.38000000,3861.96000000,3860.40000000,3860.96000000,626,18,0,3
1759286400,1759286700,3860.96000000,3861.72000000,3860.36000000,3861.59000000,514,18,0,3
1759286700,1759287000,3861.59000000,3862.67000000,3861.58000000,3862.27000000,688,18,0,3
1759287000,1759287300,3862.28000000,3862.80000000,3861.02000000,3861.98000000,636,18,0,3
1759287300,1759287600,3861.94000000,3863.04000000,3861.34000000,3862.89000000,730,18,0,3
1759287600,1759287900,3862.83000000,3864.49000000,3862.51000000,3864.48000000,1483,18,0,3
1759287900,1759288200,3864.48000000,3864.98000000,3863.65000000,3864.38000000,1142,18,0,3
1759288200,1759288500,3864.38000000,3865.19000000,3864.07000000,3865.14000000,933,18,0,3
1759288500,1759288800,3865.14000000,3865.32000000,3864.43000000,3864.90000000,991,18,0,3
1759288800,1759289100,3864.89000000,3865.08000000,3863.68000000,3864.11000000,1004,18,0,3
