ts,event_type,direction
1704160800000000000,seasonality.dow.tue,0
1704182400000000000,seasonality.session.open,0
1704211200000000000,seasonality.session.close,0
1704240000000000000,seasonality.dow.wed,0
1704268800000000000,seasonality.session.open,0
1704290400000000000,classical.rsi.oversold_cross,1
1704297600000000000,seasonality.session.close,0
1704326400000000000,seasonality.dow.thu,0
1704355200000000000,seasonality.session.open,0
1704384000000000000,seasonality.session.close,0
1704412800000000000,seasonality.dow.fri,0
1704441600000000000,seasonality.session.open,0
1704470400000000000,seasonality.session.close,0
1704679200000000000,seasonality.dow.mon,0
1704700800000000000,seasonality.session.open,0
1704722400000000000,classical.rsi.oversold_cross,1
1704729600000000000,seasonality.session.close,0
1704758400000000000,seasonality.dow.tue,0
1704787200000000000,seasonality.session.open,0
1704816000000000000,seasonality.session.close,0
1704844800000000000,seasonality.dow.wed,0
1704873600000000000,seasonality.session.open,0
1704902400000000000,seasonality.session.close,0
1704931200000000000,seasonality.dow.thu,0
1704960000000000000,seasonality.session.open,0
1704988800000000000,seasonality.session.close,0
1704999600000000000,classical.rsi.oversold_cross,1
1705017600000000000,seasonality.dow.fri,0
1705046400000000000,seasonality.session.open,0
1705064400000000000,classical.rsi.overbought_cross,-1
1705071600000000000,classical.rsi.overbought_cross,-1
1705075200000000000,seasonality.session.close,0
1705284000000000000,seasonality.dow.mon,0
1705305600000000000,seasonality.session.open,0
1705334400000000000,seasonality.session.close,0
1705370400000000000,seasonality.dow.tue,0
1705392000000000000,seasonality.session.open,0
1705413600000000000,classical.rsi.oversold_cross,1
1705420800000000000,seasonality.session.close,0
1705431600000000000,classical.rsi.oversold_cross,1
1705446000000000000,classical.rsi.oversold_cross,1
1705449600000000000,seasonality.dow.wed,0
1705471200000000000,classical.rsi.oversold_cross,1
1705478400000000000,classical.rsi.oversold_cross,1
1705478400000000000,seasonality.session.open,0
1705507200000000000,seasonality.session.close,0
1705514400000000000,classical.rsi.oversold_cross,1
1705536000000000000,seasonality.dow.thu,0
1705564800000000000,seasonality.session.open,0
1705593600000000000,seasonality.session.close,0
1705622400000000000,seasonality.dow.fri,0
1705651200000000000,seasonality.session.open,0
1705665600000000000,classical.rsi.overbought_cross,-1
1705680000000000000,seasonality.session.close,0
1705888800000000000,seasonality.dow.mon,0
1705910400000000000,seasonality.session.open,0
1705939200000000000,seasonality.session.close,0
1705968000000000000,seasonality.dow.tue,0
1705996800000000000,seasonality.session.open,0
1706000400000000000,classical.rsi.overbought_cross,-1
1706025600000000000,seasonality.session.close,0
1706054400000000000,seasonality.dow.wed,0
1706083200000000000,seasonality.session.open,0
1706112000000000000,seasonality.session.close,0
1706140800000000000,seasonality.dow.thu,0
1706169600000000000,seasonality.session.open,0
1706198400000000000,seasonality.session.close,0
1706227200000000000,seasonality.dow.fri,0
1706256000000000000,seasonality.session.open,0
1706284800000000000,seasonality.session.close,0
1706493600000000000,seasonality.dow.mon,0
1706515200000000000,seasonality.session.open,0
1706522400000000000,classical.rsi.overbought_cross,-1
1706544000000000000,classical.rsi.overbought_cross,-1
1706544000000000000,seasonality.session.close,0
1706572800000000000,seasonality.dow.tue,0
1706601600000000000,seasonality.session.open,0
1706630400000000000,seasonality.session.close,0
1706634000000000000,classical.rsi.overbought_cross,-1
1706659200000000000,seasonality.dow.wed,0
1706688000000000000,seasonality.session.open,0
1706716800000000000,seasonality.session.close,0
1706720400000000000,classical.rsi.overbought_cross,-1
1706745600000000000,seasonality.dow.thu,0
