time_open_sec,time_close_sec,open,high,low,close,rsi14,dow
1704150000,1704153600,2064.59300000,2066.09500000,2062.64500000,2063.54300000,43.030105,1
1704153600,1704157200,2063.34700000,2065.76200000,2062.17400000,2065.34000000,46.658697,2
1704157200,1704160800,2065.34100000,2069.90000000,2064.87000000,2066.53600000,48.987523,2
1704160800,1704164400,2066.51200000,2068.26700000,2063.89100000,2067.66900000,51.162766,2
1704164400,1704168000,2067.69300000,2070.33800000,2066.42200000,2069.48700000,54.514381,2
1704168000,1704171600,2069.49200000,2070.66600000,2068.82300000,2069.50000000,54.538407,2
1704171600,1704175200,2069.56700000,2074.80000000,2069.37000000,2074.31000000,62.443084,2
1704175200,1704178800,2074.30700000,2076.65100000,2072.83500000,2074.14400000,62.042149,2
1704178800,1704182400,2074.07700000,2076.35800000,2073.05900000,2073.06500000,59.373566,2
1704182400,1704186000,2073.13000000,2074.40600000,2071.70000000,2073.21600000,59.635225,2
1704186000,1704189600,2073.27600000,2078.87700000,2073.18400000,2077.03200000,65.655323,2
1704189600,1704193200,2077.04800000,2077.75300000,2073.45100000,2075.94900000,62.793010,2
1704193200,1704196800,2075.93500000,2076.17700000,2068.24100000,2069.22100000,48.613879,2
1704196800,1704200400,2069.17900000,2069.49800000,2065.01600000,2067.86900000,46.348954,2
1704200400,1704204000,2067.82900000,2071.00800000,2064.80000000,2066.27200000,43.755724,2
1704204000,1704207600,2066.31200000,2070.39400000,2062.14200000,2070.32500000,51.215703,2
1704207600,1704211200,2070.36600000,2070.69800000,2056.09700000,2059.30500000,36.889009,2
1704211200,1704214800,2059.33600000,2067.58200000,2059.09100000,2066.09200000,46.765774,2
1704214800,1704218400,2066.04000000,2066.90900000,2061.79100000,2062.68100000,43.113902,2
1704218400,1704222000,2062.72400000,2064.91700000,2060.51400000,2061.16400000,41.559559,2
1704222000,1704225600,2061.15800000,2062.17600000,2060.37000000,2060.94600000,41.328969,2
1704225600,1704229200,2060.99000000,2061.57700000,2057.83700000,2058.14300000,38.380284,2
1704229200,1704232800,2058.15000000,2059.23100000,2057.99300000,2058.85500000,39.559900,2
1704236400,1704240000,2058.79700000,2059.87400000,2058.40800000,2059.47600000,40.627485,2
1704240000,1704243600,2059.44800000,2062.12300000,2059.22700000,2060.19700000,41.910418,3
1704243600,1704247200,2060.18500000,2062.55400000,2059.44500000,2062.37900000,45.732192,3
1704247200,1704250800,2062.41000000,2065.17400000,2061.59800000,2064.69600000,49.529374,3
1704250800,1704254400,2064.70100000,2065.54200000,2063.25500000,2065.07200000,50.139087,3
1704254400,1704258000,2065.02300000,2065.52700000,2064.35200000,2064.76400000,49.610390,3
1704258000,1704261600,2064.76200000,2065.98200000,2063.45300000,2064.06100000,48.357019,3
1704261600,1704265200,2064.02400000,2065.35800000,2063.37700000,2064.30000000,48.830330,3
1704265200,1704268800,2064.26800000,2064.32000000,2060.83800000,2062.91500000,46.188493,3
1704268800,1704272400,2062.91000000,2064.37600000,2058.83300000,2060.08300000,41.271549,3
1704272400,1704276000,2060.05000000,2060.57600000,2054.24300000,2056.79600000,36.424807,3
1704276000,1704279600,2056.74400000,2057.15700000,2052.64800000,2054.84900000,33.886323,3
1704279600,1704283200,2054.85000000,2055.63400000,2046.62300000,2047.61700000,26.499043,3
1704283200,1704286800,2047.64800000,2048.34100000,2041.72800000,2045.71200000,24.955738,3
